Niger,NER,1266700
Nigeria,NGA,910770
Nicaragua,NIC,120340
Netherlands,NLD,33690
Norway,NOR,365123.0078125
Nepal,NPL,143350
Nauru,NRU,20
New Zealand,NZL,263310
Oman,OMN,309500
Pakistan,PAK,770880
Panama,PAN,74340
Peru,PER,1280000
Philippines,PHL,298170
Palau,PLW,460
Papua New Guinea,PNG,452860
Poland,POL,306190
Puerto Rico,PRI,8870
North Korea,PRK,120410
Portugal,PRT,91605.595703125
Paraguay,PRY,397300
West Bank and Gaza,PSE,6020
Qatar,QAT,11610
Romania,ROU,230080
Russian Federation,RUS,16376870
Rwanda,RWA,24670
South Asia,SAS,4771603.99902344
Saudi Arabia,SAU,2149690
Senegal,SEN,192530
Singapore,SGP,709.000015258789
Solomon Islands,SLB,27990
Sierra Leone,SLE,72180
El Salvador,SLV,20720
San Marino,SMR,60
Somalia,SOM,627340
Serbia,SRB,87460
Sub-Saharan Africa,SSF,21242361.000061
Sao Tome and Principe,STP,960
Suriname,SUR,156000
Slovak Republic,SVK,48080
Slovenia,SVN,20141.9995117188
Sweden,SWE,407310
Eswatini,SWZ,17200
Seychelles,SYC,460
Syrian Arab Republic,SYR,183630
Turks and Caicos Islands,TCA,950
Chad,TCD,1259200
Togo,TGO,54390
Thailand,THA,510890
Tajikistan,TJK,138790
Turkmenistan,TKM,469930
Timor-Leste,TLS,14870
Tonga,TON,720
Trinidad and Tobago,TTO,5130
Tunisia,TUN,155360
Turkey,TUR,769630
Tuvalu,TUV,30
Tanzania,TZA,885800
Uganda,UGA,200520
Ukraine,UKR,579290
Upper middle income,UMC,55536296.015625
Uruguay,URY,175020
United States,USA,9147420
Uzbekistan,UZB,425400
St. Vincent and the Grenadines,VCT,390
"Venezuela, RB",VEN,882050
British Virgin Islands,VGB,150
US Virgin Islands,VIR,350
Vietnam,VNM,310070
Vanuatu,VUT,12190
World,WLD,127343220.030532
Samoa,WSM,2830
Yemen,YEM,527970
South Africa,ZAF,1213090
Zambia,ZMB,743390
Zimbabwe,ZWE,386850
